cluster_id,post_id,latitude,longitude,street_name,street_num,blockface_id,cap_color,schedule_hash
C00007,360-04250,37.7828925,-122.4640059,CLEMENT ST,425,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03910,37.7814176,-122.4622321,04TH AVE,391,104033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03920,37.7814897,-122.4621005,04TH AVE,392,104034,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03950,37.7813544,-122.4622275,04TH AVE,395,104033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03960,37.7814263,-122.4620959,04TH AVE,396,104034,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03970,37.7812994,-122.4622235,04TH AVE,397,104033,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,104-03980,37.7813547,-122.4620908,04TH AVE,398,104034,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,440-39260,37.7812594,-122.4619884,GEARY BLVD,"3,926",440392,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,440-40020,37.7812435,-122.4623383,GEARY BLVD,"4,002",440402,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,440-40040,37.7812405,-122.4624046,GEARY BLVD,"4,004",440402,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00008,440-40080,37.781234,-122.4625495,GEARY BLVD,"4,008",440402,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04010,37.7808896,-122.4621942,04TH AVE,401,104041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04040,37.7809199,-122.462059,04TH AVE,404,104042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04090,37.780749,-122.462184,04TH AVE,409,104041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04110,37.780687,-122.4621795,04TH AVE,411,104041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04160,37.7806441,-122.4620391,04TH AVE,416,104042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04190,37.7805222,-122.4621676,04TH AVE,419,104041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,104-04220,37.7805189,-122.46203,04TH AVE,422,104042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,105-04020,37.7808765,-122.4631336,05TH AVE,402,105042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,105-04040,37.7808109,-122.4631289,05TH AVE,404,105042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,105-04120,37.7806394,-122.4631153,05TH AVE,412,105042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39090,37.7810119,-122.4614364,GEARY BLVD,"3,909",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39110,37.7810083,-122.4615147,GEARY BLVD,"3,911",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39130,37.7810054,-122.4615803,GEARY BLVD,"3,913",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39150,37.7810018,-122.4616591,GEARY BLVD,"3,915",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39210,37.7809953,-122.4618047,GEARY BLVD,"3,921",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39230,37.7809918,-122.4618816,GEARY BLVD,"3,923",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-39250,37.7809886,-122.4619516,GEARY BLVD,"3,925",440391,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40010,37.7809743,-122.4622712,GEARY BLVD,"4,001",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40030,37.7809735,-122.4623445,GEARY BLVD,"4,003",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40050,37.7809685,-122.4624154,GEARY BLVD,"4,005",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40070,37.7809653,-122.4624719,GEARY BLVD,"4,007",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40090,37.7809634,-122.4625397,GEARY BLVD,"4,009",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40110,37.7809577,-122.4626139,GEARY BLVD,"4,011",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40130,37.7809538,-122.4627001,GEARY BLVD,"4,013",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40150,37.7809524,-122.4627569,GEARY BLVD,"4,015",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40170,37.7809492,-122.4628288,GEARY BLVD,"4,017",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40190,37.7809461,-122.4628978,GEARY BLVD,"4,019",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40210,37.7809432,-122.4629621,GEARY BLVD,"4,021",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-40250,37.7809403,-122.4630254,GEARY BLVD,"4,025",440401,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00009,440-41010,37.7809261,-122.4633375,GEARY BLVD,"4,101",440411,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
